crop,year,season,state,area,production,annual rainfall,yield
Maize,1997,Kharif     ,Assam,19216.0,14721,2051.4,0.615652174
Onion,1997,Whole Year ,Assam,7832.0,17943,2051.4,2.342608696
Potato,1997,Whole Year ,Assam,75259.0,671871,2051.4,7.561304348
Rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,0.780869565
Rice,1997,Summer     ,Assam,174974.0,209623,2051.4,1.060434783
Rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,0.941304348
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2051.4,41.89695652
Wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,1.25952381
Bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,0.404545455
Bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,0.81
Groundnut,1997,Kharif     ,Karnataka,847666.0,525562,1266.7,0.709411765
Groundnut,1997,Rabi       ,Karnataka,192416.0,181071,1266.7,1.133333333
Maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,2.687777778
Maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,1.98
Maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,2.165714286
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,2.2335
Rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,2.073846154
Rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,2.829444444
Sugarcane,1997,Whole Year ,Karnataka,308857.0,28999269,1266.7,91.74736842
Wheat,1997,Rabi       ,Karnataka,250698.0,118512,1266.7,0.548333333
Maize,1997,Kharif     ,Meghalaya,17175.0,24878,3818.2,1.444285714
Potato,1997,Whole Year ,Meghalaya,20764.0,200509,3818.2,8.641428571
Rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,1.378571429
Sugarcane,1997,Whole Year ,Meghalaya,82.0,225,3818.2,2.352
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,1.385
Bajra,1997,Kharif     ,West Bengal,207.0,95,1852.9,0.426666667
